vehicle_standard_make,vehicle_standard_model,derivative_id,imageId
Abarth,600e,5e44031fe81046428bfa4386f10863f0,2978cdf4906545b4b342c426b2d9f241
Alfa Romeo,Giulia,587794aeced2479a91c65c89b8e2e652,8d65c57119e048c0a5138b911f6e67c8
Alfa Romeo,Giulietta,6b9118b0950a4e9c850d2ed5173fbe21,cf3e6f1a2e254458a52f56217a5f83f8
Alfa Romeo,Junior,18d4e982a383486180f27849e18e4fe1,eca7d005bf1a41f59cb6e5223157d1b1
Audi,A3,5d18e0d73147475aa20bb8777c9be641,58b9beb0d95e439e9ab16e07cecd104f
Audi,Q2,32e9438bb28b4223bb602be7b0044976,921ca9977c8747389c16380a4ceb5acd
Audi,RS3,b6872fe2f06548adb4deb1109ed8e88d,a76e0c4b2f854cd4b072f3c754468cec
Audi,S3,07627a922909425b8865810e2e5475df,92e6449167024f3687a71efeadde7162
Audi,SQ2,b5a8b179287548cc829b227cdcb0b648,0050c7a8f04d407d89720c7dc8006ee3
BMW,1 Series,aa301ebb633446258979d6f96c5e2f0f,448c0e451c704542b5b1b38c73dcdd5f
BMW,2 Series Active Tourer,0d512eb5c3584d1b9bed844bf93bd229,8a7f6baedc8d41b2a23bdb998ec17758
BMW,2 Series Gran Coupe,5561334085dc4f56bfefd12ef9613cad,d0ec6c1abd7f4cb29a41586c16e06912
BMW,X2,5920c0b3ad5242fab7bb690ae1fa314b,c7037c6637044b39a9d39afbf5e884f0
BYD,Atto 2,f3037fb6dfc9497dac34cac0080160b8,19b5ee9f202243a19cdca1dc1163bcc4
BYD,Dolphin,e566a663e60c444aa87092a55fbe7fc9,ad08bebe1d69428aac488353f34ff1ae
CUPRA,Born,cb11a99f54b043f1983f336c79eff9c0,b36b6508dc2e4dc192cc59c3bc379481
CUPRA,Formentor,4fdb2db4a5d14414aa520c7db12dcfe8,2d55d6f656ee4cf5a948b79e946a96f6
CUPRA,Leon,e7614ad485b04f428d84cd3129c6b0de,082be5ee58be4d7baaa6c39c5f8f34a0
Chery,Tiggo 8,9eceafc5a2db4bdbacdadebede749018,b06226009f8b4353b46a5de41b2da839
Chevrolet,Cruze,1b44116db96e46518d80b721979b9074,c637894d47764552b56202b506c0c599
Chevrolet,Lacetti,f13690d7e882c3e728911243775aed27,03846453e4f14b659a44fd7cbbffa856
Chevrolet,Orlando,a8dd1a64c80247ef983a01fe3a45972e,1dbd7821a65d41a3859ba2f7dc869694
