public_reference,vehicle_standard_make,vehicle_standard_model,imageId,method,Sport_Car_Score
202502108959651,Chrysler,300C,3b700bac3643481e8ab2e92406e695f7,luxury,1
202412277560073,BMW,5 Series,87f927b08dba4285a71a164f824d9c3f,luxury,1
202110218753256,Maybach,57,0a8f4dab45ff4f76be2da0f91fe49297,luxury,1
202501208226361,BMW,6 Series Gran Coupe,d31ec9e17add4a22bd53e9bd02f687dc,luxury,1
202504141317124,BMW,7 Series,d6f21918c6944ca6aff11ac6abe00fd3,luxury,1
202505092204305,BMW,8 Series Gran Coupe,098549df6cbe4a6389a37ff72b77e212,luxury,1
202504010843462,Audi,A6 e-tron Avant,fd26bde91f8841ee82930c8c2134df5a,luxury,1
202505122297420,Audi,A6 e-tron Sportback,6dd1969f7e9c4b6ab62027efd5c3f688,luxury,1
202505182526799,Audi,A8,b1bca70b74e240abb480ddae707f93f8,luxury,1
202502249434144,Mercedes-Benz,AMG GT,a090f7db8f5840bab59572ea4db38177,luxury,1
202505011932751,Nissan,ARIYA,66e38f09db1b4ce5b1f817f5b993bdbd,luxury,1
202501198185544,BMW,Alpina B5,a08899e4a5ea4b118d96f3fe4db0667e,luxury,1
202502038710301,BMW,Alpina B8 Gran Coupe,04d6f5a44e214244ad99aafa989503ee,luxury,1
202502098927708,BMW,Alpina XD3,d339832a49fc4c1fa50868c64515eb6b,luxury,1
202406291256706,Bentley,Arnage,e59a0d9d742c43cd8ab277fba5ab6451,luxury,1
202501218243299,Bentley,Azure,c541f5e6cc714d6dbf1d5853c25749f7,luxury,1
202504261757559,Bentley,Bentayga,5b373b9688e34c5293114f761c88b504,luxury,1
202505162470098,Bentley,Brooklands,1afe48d93b744113aa34f993d623506c,luxury,1
202504261744207,Volvo,C40,76fa5ea5d3d54113ab86f76993d78893,luxury,1
202505072123548,Mercedes-Benz,CL,a1fe9e64892447a7b7142ae61d482c9f,luxury,1
202407081549701,Mercedes-Benz,CLS,5e8f0a18c58247b0943065a7cc19e3fe,luxury,1
202505202600900,Porsche,Cayenne,6ec5c0c4c557436eb1e2c4780c59c92a,luxury,1
202408102756292,Bentley,Continental,97010c0798844af7a573fcb6ff71fa9d,luxury,1
202501027685933,Rolls-Royce,Cullinan,06eb2158d1aa4e49b2252f457980b98d,luxury,1
202505062088672,Rolls-Royce,Cullinan Series II,62708a0e640a47b09b0b4c7a759b1c4b,luxury,1
202504231628411,Aston Martin,DBX,e713ee1fad5844b2861b8e063ce9f351,luxury,1
202505021956214,Rolls-Royce,Dawn,3258b104b42541c59594a01884b18f81,luxury,1
202504301882056,Land Rover,Defender 110,ab4d2bfa176a4995a21932e8fbb3a57d,luxury,1
202505072133651,Land Rover,Defender 130,e4c442abe1d34dd593d797cb8b1e6431,luxury,1
202504071055236,Land Rover,Defender 90,d77f7d695b664d0bba3eff5fecac876d,luxury,1
202504101186676,Land Rover,Discovery,1fbfceaf1b354999a1dc64c8ae177603,luxury,1
202407051486793,Mercedes-Benz,E Class,652f8383fc2a4a23aee2884df25c192f,luxury,1
202501278441497,Volvo,EC40,b4aacdf291fd41d5a3e7ed244795cec5,luxury,1
202505202598790,Mercedes-Benz,EQC,dabb513f6c084d8b855c48c66bc5c9f3,luxury,1
202503210413673,Mercedes-Benz,EQE,31493da895b24e529e723de6ac9681ab,luxury,1
202505142376455,Mercedes-Benz,EQS,d8d8fb09fce6425bb6235f1324109e43,luxury,1
202504111220482,Kia,EV6,817a75dbfa6946c787bae6005da84d23,luxury,1
202505192573755,Volvo,EX40,817742077d144def82b3e3d01bef6038,luxury,1
202504101166335,Volvo,EX90,42051427a359440eb96ddd4d873c9412,luxury,1
202501148035444,Lotus,Eletre,9f3f9c690e2b46b38b7d151fe13a98ac,luxury,1
202503039689143,Skoda,Enyaq,faee561c4f624b18bde703fad52199b0,luxury,1
202505062077934,Jaguar,F-PACE,07b85134e70e4489984e7610a8090e2c,luxury,1
202503019645741,Infiniti,FX,81e308fd01554fa7b42e478b52178635,luxury,1
202504151360100,Bentley,Flying Spur,2a6d32b21fca4dbbab2af4d499d8d837,luxury,1
202409043629337,Mercedes-Benz,G Class,5db6ba0cc44041efb4eeeaeb06a96112,luxury,1
202504231632262,Genesis,G80,47cb4185fc7645da91df5b9a38665e61,luxury,1
202502129021977,Mercedes-Benz,GL Class,983370ab9afc498485af0bc13c5cc200,luxury,1
202505021955752,Mercedes-Benz,GLC,f6bbd1ae291b49e99af7c5e1357c392e,luxury,1
202411256722771,Mercedes-Benz,GLE,bb9e5f25e0d146398d49dd947b8ab724,luxury,1
202503280674126,Mercedes-Benz,GLS,6a9c349bc8b54853bd64f10f6a63ab22,luxury,1
202505162459630,Lexus,GS,fdc73433c9d24882bedae34cb247d17e,luxury,1
202504241666471,Genesis,GV60,27515008be2d4722ad6b527c6e065f1f,luxury,1
202502219356283,Genesis,GV70,f95d54e0e4eb4158bebc5c91ed9d2398,luxury,1
202503130109901,Rolls-Royce,Ghost,7f274da092214286b8255c8c6b2bc438,luxury,1
202505011930710,Rolls-Royce,Ghost Series II,55c09e2a422043d181b26042a940185e,luxury,1
202502269530911,Jeep,Grand Cherokee,f81690c0be204c64b7a06115dc48b7a3,luxury,1
202409043642851,Maserati,Grecale,440970f0016d47c8a949c042a3e41600,luxury,1
202505182531392,Jaguar,I-PACE,e83089f875d64aaaab6da285f3c2f9ce,luxury,1
202503079858467,Hyundai,IONIQ 5,89a00a351dee484c9e6f9bc7c845b014,luxury,1
202406130707994,Lexus,LS,fcd90d75984d4520b7b0c83a924c9cbf,luxury,1
202503190341558,Maserati,Levante,473adafd4c7842cb88b9509a5c040a99,luxury,1
202410295712491,Mercedes-Benz,M Class,ade30c6f47a846e0ab0e8d0c406a5ead,luxury,1
202505042029820,BMW,M5,f4daddafc87b489180a9c55d7bd39ada,luxury,1
202504221600945,BMW,M8 Gran Coupe,5eec2d5f7f494ddabbc090af7f15f1b1,luxury,1
202503200373158,Porsche,Macan,fcefa145ee2842d9a68de0dfca749eca,luxury,1
202505202623439,Mercedes-Benz,Maybach GLS,4eae0ec23fd4450c8ac8279be8db18a2,luxury,1
202505172499140,Mercedes-Benz,Maybach S Class,null,luxury,1
202503250556609,Tesla,Model S,39ca694ab04e4af9851053a51875b7ba,luxury,1
202501318623139,Tesla,Model X,e54e4c0a50cc44558539718e52a79409,luxury,1
202505011928921,Bentley,Mulsanne,2304ea19051a46a6a30cf636bbf473c9,luxury,1
202505192554200,Ford,Mustang Mach-E,8e229b7b9fd744e7bff10bd6981d341e,luxury,1
202503039683066,Fisker,Ocean,c4b2ab4878d1462bb6d389d53f125dae,luxury,1
202505092224118,Porsche,Panamera,0245fbc7475c4faf8357a96ff27d6a24,luxury,1
202501188170825,Rolls-Royce,Phantom,c4a868d3162d47d7bec6dc728ed775ce,luxury,1
202505132330747,Polestar,Polestar 2,3e271134052e431790e6aa57bc7326fd,luxury,1
202503059773847,Polestar,Polestar 3,f6bf0f79ab6c40a4aca9ad38c1f93297,luxury,1
202504301885902,Polestar,Polestar 4,55289857070d47beac393193ec7b85aa,luxury,1
202505021982462,Ferrari,Purosangue,b295c2731c574df7ae2be8c2ceb3c3cf,luxury,1
202504121261542,Audi,Q7,a34b8e3905b94173a831437089e83580,luxury,1
202408112765362,Infiniti,Q70,5fcf689b5ad14f4ab071a3ebb00338f3,luxury,1
202505042037246,Audi,Q8,432037cb96384127b530263a8c78e835,luxury,1
202503310789107,Infiniti,QX70,966662e2448c4178b55d564e2cc0836d,luxury,1
202310022563596,Maserati,Quattroporte,d08fa489bc9e45e1ba0c3974b6f17792,luxury,1
202505042037252,Audi,RS e-tron GT,cb815c0a2f734b84812de31b9de9b9bb,luxury,1
202310213213869,Audi,RS6,114b01973b9e466f9d84b75a42b9d785,luxury,1
202505152416196,Audi,RS6 Avant,5bf4956edb7b40ad958fecb3763d241f,luxury,1
202412047001725,Audi,RSQ8,514b5fc1188d4ac294189c90bed8fe25,luxury,1
202503130107842,Land Rover,Range Rover,7c8dae43f95a41f3aa3026cb19e5338e,luxury,1
202505202618265,Land Rover,Range Rover Sport,c4b4e4ff8f2d41a3bce7f3f76cf53656,luxury,1
202505072120758,Land Rover,Range Rover Velar,9ca1c8873a0041e0ac2d3aa0354a6613,luxury,1
202505182540013,Aston Martin,Rapide,fb2cd085ce8b4264bce114427a1f730a,luxury,1
202504040962937,Aston Martin,Rapide S,00cb2c8b3e864777b007ba4ce72bdf51,luxury,1
202410235505287,Mercedes-Benz,S Class,18983d06a37445efb422c7824e0c5ef6,luxury,1
202503039711372,Audi,S e-tron GT,92f995eb38bb4151b3296b2683a08e1e,luxury,1
202505021971071,Audi,S6 Saloon,882995fd04a347f086d168706ddafd61,luxury,1
202504301889186,Audi,S6 e-tron Avant,65b983755a1544cca1267064d39dca94,luxury,1
202504191507567,Audi,S8,c230d10512bb46d4b381e6efd08f10d1,luxury,1
202504251716586,Audi,SQ5,a9b0771c44ca41bf96f48aacad5ef96c,luxury,1
202410155226337,Audi,SQ6 e-tron,b1a3a5d25b194c0cb630157049b56bae,luxury,1
202505102249737,Audi,SQ7,609bf6cd554041fc89dcf84711e125ff,luxury,1
202503280699471,Audi,SQ8,4bd7c34b0fe141779d7a40ae6ebf03d7,luxury,1
202505072142128,Audi,SQ8 e-tron,276305601931401e9ba544bfc4c35ade,luxury,1
202504101175830,BYD,Seal,3b16e3bcca194dbd8eedc5bbdb164f23,luxury,1
202505082187081,BYD,Sealion 7,e3acf943db544fc3ac4a472627692d29,luxury,1
202411116185971,Rolls-Royce,Spectre,7f705ed6926d433abd9505c40f00c711,luxury,1
202412107152133,Porsche,Taycan,15e87982bf2d4387b038cbcda8c031bb,luxury,1
202503110004377,Volkswagen,Touareg,4c8d88c712b44da2bf010728289ac33d,luxury,1
202501318597002,Lamborghini,Urus,aa010983273d454289562f270eeb2edb,luxury,1
202503260590209,Rolls-Royce,Wraith,86cc7f63d179452aac5b12ea39da6925,luxury,1
202505021957936,BMW,X3,e75aaa78b4fb496eaed2d2ad6f93bb62,luxury,1
202503059782745,BMW,X3 M,27ebb58e1fbe423ab6603b11423c501b,luxury,1
202504101198896,BMW,X4,86a169b5d6c64b60a137e9af96a4177b,luxury,1
202505192564613,BMW,X4 M,6159bd2bcc7845c1927b01e5c5b03360,luxury,1
202505102244648,BMW,X5,0380f778a7664f9dad0d2f31895b5770,luxury,1
202501137976629,BMW,X5 M,af46494513574ddc804533f95253849d,luxury,1
202505132355912,BMW,X6,baecf4568d3a4d91a8ee23f2e327354d,luxury,1
202504101185651,BMW,X6 M,717ab75c13514fb7ac61dfb51a8cd96d,luxury,1
