public_reference,vehicle_make,vehicle_model,vehicle_body_type,advertiser_advertiser_id,derivative_id,adverts_retail_adverts_total_supplied_price_amount_gbp,imageId,method,median_price
202307159704083,Alfa Romeo,75,Saloon,null,8989ded9d7807c2eb608abb1843aa5e3,16995,04333a23fbdc4071be203a1ebd95f8f8,aa_rare,16995
202412036953931,Citroen,DS,Saloon,null,null,19999,725255054daf4542964c67971f442173,aa_rare,19999
202412107147261,BMW,E9,Coupe,null,null,41999,11812f7bf1264b0784af2ea909e6d268,aa_rare,35497
202410255584028,Hummer,H1,SUV,47176,null,99995,2b5a61d5ce3a45ed89f99380f5044991,aa_rare,67497.5
202411176375456,Rover,P6,Saloon,null,8593ea95f8d98fa6686c55ed19570ce5,7500,59f7ef2fcca0433186f4f48be3c64213,aa_rare,7500
202412117196267,Citroen,XM,Hatchback,null,e77a40b3f9813cc767e84f803ccfd45e,3500,b94536c59800466691273c7e38f3f3a4,aa_rare,3500
202405219943084,BMW,Z1,Convertible,4547,81a72791a56995cde13881db50c3cd29,58995,b650cdab06604cc1aca63d81a4d764e7,aa_rare,58995
202410145191409,Fiat,126,Hatchback,null,null,6000,5ed6256fa5f04c27aaa3ba4944ff8390,aa_rare,6000
202411106146070,Triumph,GT6,null,10019302,null,17995,328ded76197c4bc780c9e3028ba01028,aa_rare,17995
202406040382082,Renault,GTA,Coupe,10039528,311baf8687bc06cbd59da97a1c094c2b,55150,95dcc55c44c1403793799cd278b670e0,aa_rare,47572.5
202302094098068,Lexus,LFA,Coupe,711452,null,999900,87990f4358a7421fb4b625b5ffacf56d,aa_rare,999900
202410024755398,BMW,2002,Saloon,10014706,null,13995,75518978ec5645d29cfc906fcbfd4818,aa_rare,26995
202402076314991,Ford,F100,Pickup,null,null,10000,dc33caf5e59b47c4872547726de55e07,aa_rare,10000
202407181897275,Volvo,P1800,null,10008773,null,26450,319266e03a7d4e538e8b6b1ab22891d1,aa_rare,26450
202408173003472,Ford,Probe,Coupe,null,ffc96702ae019bc5e185e77e7333df31,4700,b78b237f3a1c4f4d94d532723184c821,aa_rare,4700
202412117187733,Fiat,Stilo,Hatchback,null,ac450e3045554d777a4b265953b7b4da,5999,04d6de394b3942e6a605e58fec13d487,aa_rare,5999
202412117179948,CHEVROLET,CAMARO,null,10001492,null,22970,f7a4608061fb442bb7bc23162350f104,aa_rare,26990
202412087113278,Chevrolet,Camaro,Coupe,null,null,26990,454a4e27157b489ab0efc82f60aceeb8,aa_rare,26990
202412057017468,Daihatsu,Midget,Pickup,10040122,null,7800,779bb7d0a0d740f9aebe44669bae8ca1,aa_rare,7800
202409244383025,MAXUS,Mifa 9,MPV,1718350,7ac040696b60407fb704982756bf2cf4,59490,6e5def4b838c4df9b3870c06510b938e,aa_rare,59490
202407212004270,Toyota,Soarer,Coupe,null,null,12499,af6c1841c7f54ed487c007be949b46b9,aa_rare,12499
202412016897001,Renault,Spider,Convertible,null,8e1a6c4a3dc1c7e20a312c73bbc98988,29995,4140e1beebf6410ca43d42ba12a0641d,aa_rare,29995
202404168712127,Fiat,Strada,Hatchback,10002589,null,17995,52c5626042624706ba7a57b4ab381bb3,aa_rare,17995
202411236653252,Ford,Torino,Coupe,null,null,11995,30c5a22dbf664c8a91f51dcd8219ceab,aa_rare,11995
202410225456574,AUDI,ALLROAD,Estate,10033906,988025a67a2f406f83da6a85fad3d15f,14495,80c418a1e4c94851b99fa46ddbb8c615,aa_rare,12697.5
202410255599430,Mercedes-Benz,AMG ONE,Coupe,10030983,null,2800000,fe6f7420058e497fa929565f5c8a3f4b,aa_rare,2800000
202305257777434,Dodge,Durango,SUV,10035378,null,77995,14ecac5bc7d54040b80a77779e0941dd,aa_rare,77995
202404058333870,TVR,Sagaris,Coupe,724717,d60d1e70c27a253c0eb376cc89540e47,67995,2a9794d3cd764246b09f62827bb7569d,aa_rare,67995
202407292268550,Nissan,Skyline,Coupe,10016776,null,200000,26079cd945774aed9d62e76fff2d29d2,aa_rare,54997.5
202412117183077,Renault,Avantime,Coupe,null,c13412bf029bf03a5e65482e1405e07b,5250,02838b27b8784a9d844104dee49e259e,aa_rare,5250
202408042519598,Mercedes-Benz,CE Class,Coupe,10004156,null,22500,c0bca54c5ab94a85a29b27d248e218a4,aa_rare,22500
202409123964303,Cadillac,Escalade,SUV,10042444,null,146490,2857f183ce28467aaf64d19c9e7c1aba,aa_rare,25895
202411266740309,Chrysler,Le Baron,Convertible,null,null,9500,be616a00e40f4e0db9d3339862ae621c,aa_rare,9500
202412097125513,Land Rover,Series I,Pickup,null,null,20000,b63fb9efdc654446a3eb3d8dc6eac261,aa_rare,20000
202308050469807,Nardini,Flymobile,Saloon,null,null,14995,4b0bdcfb35b54d2282261f8c8ee8dea6,aa_rare,14995
202411116183277,McLaren,Speedtail,Coupe,1070016,null,1850000,3ba4e4878958413f8a480e1ca8a5b70d,aa_rare,1850000
202401145537651,Smart,Crossblade,Convertible,null,null,20075,877d2828a73a418b89178bbbf85edcba,aa_rare,20075
202310122912295,Volkswagen,Beach Buggy,null,9812,null,19990,939b2c23984a44c1aed48d0569073c33,aa_rare,19990
202407151797153,Subaru,Prodrive P25,null,22669,null,549990,a38a3ddb86d349639ef791d6cd7374cf,aa_rare,504157.5
202408082669418,Tesla,Cybertruck,Pickup,10032173,null,130950,c7ad17054f9b4b09b327bed43f6ea045,shared_fpa,130950
202411015840145,Bugatti,Chiron,Coupe,745504,null,3500000,fed1f5f180bf4fad838338c7fd6a13df,shared_fpa,2995995
202410315788867,Bugatti,Chiron,Coupe,745504,null,2450000,614d615495894298ba0c934f2f598b9e,shared_fpa,2995995
202410155219480,Corbin,Sparrow,Saloon,null,null,9750,27605a19502b419a90a812e6f903196e,shared_fpa,9750
202409093815532,Koenigsegg,Agera,Convertible,10030983,null,3500000,3d5b18df9bf8421ebed033340bcd5066,shared_fpa,3500000
202404249021334,Alvis,ABH386C,All Terrain,10003215,null,45000,f3b854773612443290a9fb97b028cf13,shared_fpa,45000
202408193050162,Maserati,MC12,Convertible,309178,c78957145ff10751f0019254f1c6fe38,4250000,761a0e85e7c04c98a525f3adf35fdcb5,shared_fpa,4250000
202410245546677,Buick,Le Sabre,null,10733,null,9995,bf8c9bb0a15346d0b51520b5305807be,shared_fpa,9995
202411096113867,Ferrari,Dino,Coupe,null,null,3999,12c04964e6cb4cdda3026e05fd1d8571,shared_fpa,299500
202208098606800,Lada,Niva,SUV,26293,7d25f93b2dee1d6003a0d1e2320a7e12,21850,7da0d8a5a6ad4fa3aa030630f81615c8,shared_fpa,21850
