public_reference,vehicle_make,vehicle_model,vehicle_body_type,advertiser_advertiser_id,derivative_id,adverts_retail_adverts_total_supplied_price_amount_gbp,imageId,method,median_price
202307159704083,Alfa Romeo,75,Saloon,null,8989ded9d7807c2eb608abb1843aa5e3,16995,04333a23fbdc4071be203a1ebd95f8f8,aa_rare,16995
202412036953931,Citroen,DS,Saloon,null,null,19999,725255054daf4542964c67971f442173,aa_rare,18032
202412107147261,BMW,E9,Coupe,null,null,41999,11812f7bf1264b0784af2ea909e6d268,aa_rare,35497
202410255584028,Hummer,H1,SUV,47176,null,99995,2b5a61d5ce3a45ed89f99380f5044991,aa_rare,67497.5
202407111671993,Lexus,LM,MPV,10005133,null,115000,942ca86490404061b29020be8b4ef49d,aa_rare,109500
202405219943084,BMW,Z1,Convertible,4547,81a72791a56995cde13881db50c3cd29,58995,b650cdab06604cc1aca63d81a4d764e7,aa_rare,58995
202302094098068,Lexus,LFA,Coupe,711452,null,999900,87990f4358a7421fb4b625b5ffacf56d,aa_rare,999900
202410024755398,BMW,2002,Saloon,10014706,null,13995,75518978ec5645d29cfc906fcbfd4818,aa_rare,26995
202407181897275,Volvo,P1800,null,10008773,null,26450,319266e03a7d4e538e8b6b1ab22891d1,aa_rare,26450
202407212004270,Toyota,Soarer,Coupe,null,null,11499,af6c1841c7f54ed487c007be949b46b9,aa_rare,11499
202412016897001,Renault,Spider,Convertible,null,8e1a6c4a3dc1c7e20a312c73bbc98988,29995,4140e1beebf6410ca43d42ba12a0641d,aa_rare,29995
202404168712127,Fiat,Strada,Hatchback,10002589,null,17995,52c5626042624706ba7a57b4ab381bb3,aa_rare,17995
202410255599430,Mercedes-Benz,AMG ONE,Coupe,10030983,null,2800000,fe6f7420058e497fa929565f5c8a3f4b,aa_rare,2800000
202305257777434,Dodge,Durango,SUV,10035378,null,77995,14ecac5bc7d54040b80a77779e0941dd,aa_rare,77995
202404058333870,TVR,Sagaris,Coupe,724717,d60d1e70c27a253c0eb376cc89540e47,67995,2a9794d3cd764246b09f62827bb7569d,aa_rare,67995
202408042519598,Mercedes-Benz,CE Class,Coupe,10004156,null,22500,c0bca54c5ab94a85a29b27d248e218a4,aa_rare,22500
202308050469807,Nardini,Flymobile,Saloon,null,null,14995,4b0bdcfb35b54d2282261f8c8ee8dea6,aa_rare,14995
202411116183277,McLaren,Speedtail,Coupe,1070016,null,1850000,3ba4e4878958413f8a480e1ca8a5b70d,aa_rare,1850000
202401145537651,Smart,Crossblade,Convertible,null,null,20075,877d2828a73a418b89178bbbf85edcba,aa_rare,20075
202306068187359,Mercedes-Benz,SEC Series,Coupe,null,null,17500,c80c2a1e866842ef9c7703401ad769e1,aa_rare,13750
202310122912295,Volkswagen,Beach Buggy,null,9812,null,19990,939b2c23984a44c1aed48d0569073c33,aa_rare,27485
202407151797153,Subaru,Prodrive P25,null,22669,null,525000,a38a3ddb86d349639ef791d6cd7374cf,aa_rare,481250
202412117198950,Ferrari,Scuderia Spider,Convertible,null,null,299950,fb731c941d3b442cb9a982b6c8dbc809,aa_rare,299950
202406261140092,TVR,Tuscan,Convertible,null,a5e3498736ffbc733ebfb0e4a93ba3f6,49995,0b73010d44dc4398a8ba8ed9437c609f,aa_rare,28999.5
202409244383025,MAXUS,Mifa 9,MPV,1718350,7ac040696b60407fb704982756bf2cf4,59490,6e5def4b838c4df9b3870c06510b938e,aa_rare,59490
202406040382082,Renault,GTA,Coupe,10039528,311baf8687bc06cbd59da97a1c094c2b,55150,95dcc55c44c1403793799cd278b670e0,aa_rare,47572.5
202412147277992,Renault,GTA,Coupe,10026640,311baf8687bc06cbd59da97a1c094c2b,39995,4d833d53bb3d42c4bc36a0aed6317865,aa_rare,47572.5
202408152920713,Aston Martin,V8,Convertible,10030137,null,349950,359edd83a0e849ee976897c78cd0ef1b,aa_rare,209991
202407181916701,BMW,ALPINA B8,Gran Coupe,20788,83bc4cc941ab43219001b82fae35898f,152950,0f6b37d422ef41998c54f823b20b9941,aa_rare,152950
202409123964303,Cadillac,Escalade,SUV,10042444,null,146490,2857f183ce28467aaf64d19c9e7c1aba,aa_rare,25895
202405139655753,Dodge,Charger,Coupe,26724,null,114990,b4fed765b9e348beac2fd319c5e1cb35,aa_rare,65997
202411196435030,Suzuki,SX4,SUV,13739,65ead52c2ca84361a8b1313085c0dfe9,3340,2cece46398964081aa337b1f13936c12,shared_fpa,2500
202408082669418,Tesla,Cybertruck,Pickup,10032173,null,130950,c7ad17054f9b4b09b327bed43f6ea045,shared_fpa,130950
202411015840145,Bugatti,Chiron,Coupe,745504,null,3500000,fed1f5f180bf4fad838338c7fd6a13df,shared_fpa,2995995
202404249021334,Alvis,ABH386C,All Terrain,10003215,null,45000,f3b854773612443290a9fb97b028cf13,shared_fpa,45000
202410155219480,Corbin,Sparrow,Saloon,null,null,9750,27605a19502b419a90a812e6f903196e,shared_fpa,9750
202408193050162,Maserati,MC12,Convertible,309178,c78957145ff10751f0019254f1c6fe38,4250000,761a0e85e7c04c98a525f3adf35fdcb5,shared_fpa,4250000
202410245546677,Buick,Le Sabre,null,10733,null,9995,bf8c9bb0a15346d0b51520b5305807be,shared_fpa,9995
202408193031746,Holden,Maloo,Pickup,722848,null,62890,ccc72adb27d947a69d0d0b011f42882a,shared_fpa,62890
202409103862535,Dodge,Viper,Convertible,10016692,null,47950,0612547b40c54e96b46cda14af8dc322,shared_fpa,47950
