public_reference,imageId,method,vehicle_make,vehicle_model
202504281805978,202504281805978,Unknown,Unknown,Unknown
202307229945880,202307229945880,Unknown,Unknown,Unknown
202507264853634,202507264853634,Unknown,Unknown,Unknown
202505222708122,202505222708122,Unknown,Unknown,Unknown
202507014041876,202507014041876,Unknown,Unknown,Unknown
202507244787218,202507244787218,Unknown,Unknown,Unknown
202507315014753,202507315014753,Unknown,Unknown,Unknown
202507144464844,202507144464844,Unknown,Unknown,Unknown
202507315001488,202507315001488,Unknown,Unknown,Unknown
202505172508781,202505172508781,Unknown,Unknown,Unknown
202506253863664,202506253863664,Unknown,Unknown,Unknown
202507244772996,202507244772996,Unknown,Unknown,Unknown
202507104360152,202507104360152,Unknown,Unknown,Unknown
202502209295607,202502209295607,Unknown,Unknown,Unknown
202504111248228,202504111248228,Unknown,Unknown,Unknown
202507204653972,202507204653972,Unknown,Unknown,Unknown
202501268431689,202501268431689,Unknown,Unknown,Unknown
202507164549702,202507164549702,Unknown,Unknown,Unknown
202507064216249,202507064216249,Unknown,Unknown,Unknown
202507014052334,202507014052334,Unknown,Unknown,Unknown
202507044183970,202507044183970,Unknown,Unknown,Unknown
202505112283449,202505112283449,Unknown,Unknown,Unknown
202504251724408,202504251724408,Unknown,Unknown,Unknown
202507184591381,202507184591381,Unknown,Unknown,Unknown
202503160214815,202503160214815,Unknown,Unknown,Unknown
202409214286407,202409214286407,Unknown,Unknown,Unknown
202507114395378,202507114395378,Unknown,Unknown,Unknown
202503290721512,202503290721512,Unknown,Unknown,Unknown
202506153523972,202506153523972,Unknown,Unknown,Unknown
202503099929155,202503099929155,Unknown,Unknown,Unknown
202506253847239,202506253847239,Unknown,Unknown,Unknown
202506304028779,202506304028779,Unknown,Unknown,Unknown
202506173596416,202506173596416,Unknown,Unknown,Unknown
202507154489183,202507154489183,Unknown,Unknown,Unknown
202507184588064,202507184588064,Unknown,Unknown,Unknown
202401316089550,202401316089550,Unknown,Unknown,Unknown
202505172500295,202505172500295,Unknown,Unknown,Unknown
202506213731657,202506213731657,Unknown,Unknown,Unknown
202408273347551,202408273347551,Unknown,Unknown,Unknown
202507094303205,202507094303205,Unknown,Unknown,Unknown
202412247519578,202412247519578,Unknown,Unknown,Unknown
