public_reference,vehicle_make,vehicle_model,vehicle_body_type,advertiser_advertiser_id,derivative_id,adverts_retail_adverts_total_supplied_price_amount_gbp,imageId,method,median_price
202503109967031,Audi,100,Coupe,null,null,19460,557fac9adc5b42908d99e84f2256619b,aa_rare,18995
202503079880285,Ferrari,12Cilindri,Coupe,10005193,3fa069624f974bf8a23b39b9541b90ac,499995,a38c6f850f8841619551c3d3456f4eda,aa_rare,499972.5
202409123944241,BMW,2002,Saloon,null,null,24995,d01b200e5333457ea2763f9a0883116c,aa_rare,24995
202503110016190,Renault,5,Hatchback,10479,null,29990,28a7c3d350a14b4580a34de901b5b271,aa_rare,26999
202503180293599,Saab,9-5,Estate,411410,fb083fa2bd68a9b4f0df76627744eaf1,8750,c86d3fecd08e4980afe3b5aad845526e,aa_rare,2695
202503120060907,SAAB,9-5,Saloon,496675,b3ef2b9096df4f0a9be7626d440fb0ca,13494,190253f9f1ec457cae59578710348668,aa_rare,2695
202503099941281,Volkswagen,Beach Buggy,Saloon,null,null,10495,a46f685e30f649cb819487c49c12cc64,aa_rare,10495
202301042938995,Koenigsegg,CCX,Convertible,765248,null,2100000,058200b007af45a1991aff32cdd97920,aa_rare,2100000
202502249426509,Volkswagen,Campervan,Camper,722649,null,46500,3f5a2b98ab824fc894b3524e892e89e1,aa_rare,25950
202502179192817,Mercury,Cougar,Coupe,13709,null,29995,3adfeb28e4054028b5cc4376db09d340,aa_rare,29995
202401145537651,Smart,Crossblade,Convertible,null,null,20075,877d2828a73a418b89178bbbf85edcba,aa_rare,19512.5
202408082683901,Cadillac,Escalade,Four Wheel Drive,10005133,null,99950,c83fca597d16463c8e1d975081e92a45,aa_rare,14995
202503240500539,Ford,F650,Pickup,10038711,null,199950,3220987dc8e047fba2d79ace8e85e2b1,aa_rare,199950
202308050469807,Nardini,Flymobile,Saloon,null,null,14995,4b0bdcfb35b54d2282261f8c8ee8dea6,aa_rare,14995
202410255584028,Hummer,H1,SUV,47176,null,99995,2b5a61d5ce3a45ed89f99380f5044991,aa_rare,94897.5
202302094098068,Lexus,LFA,Coupe,711452,null,999900,87990f4358a7421fb4b625b5ffacf56d,aa_rare,999900
202503200370918,MG,MGB GT,Coupe,null,fe2c31244ad56b2a3f8aa1b14f52ee67,4800,85703b4b679047c68ec3267fb3058330,aa_rare,9950
202309262386922,MG,MGC,Convertible,9758,null,22999,7d5b505392184578823956e55268a15b,aa_rare,22999
202410215424562,McLaren,P1,Coupe,10030983,5fb6b5bae8214dce9cd332da3f4064d8,1800000,8ffd5bf97ecc41f8a732cf413a30b713,aa_rare,1750000
202407181897275,Volvo,P1800,null,10008773,null,25450,319266e03a7d4e538e8b6b1ab22891d1,aa_rare,25450
202502129018322,Rolls-Royce,Phantom,Saloon,null,a170df151e574bffb27c7f4cdf508e96,37900,f02435b962354a9a930fa8b58e0bb418,aa_rare,144950
202407151797153,Subaru,Prodrive P25,null,22669,null,449990,a38a3ddb86d349639ef791d6cd7374cf,aa_rare,412494.5
202310042643346,Lamborghini,Reventon,Coupe,765248,null,1650000,d6e3f94caa5c419e8e1d28b4f39ce3d1,aa_rare,1650000
202503130083158,Lamborghini,Revuelto,Coupe,83231,a99178765f4d4a24b4d8ee1269fd8c87,609995,fc968b97869a4cfca0edf171c281236e,aa_rare,549989
202412016897001,Renault,Spider,Convertible,null,8e1a6c4a3dc1c7e20a312c73bbc98988,29995,4140e1beebf6410ca43d42ba12a0641d,aa_rare,29995
202503089910847,Mercedes-Benz,Sprinter,null,25857,null,179995,2f27ba70adcf4d81b68c8d65e73eb76d,aa_rare,14497.5
202501278447040,Mercedes-Benz,Sprinter,Panel Van,10005133,null,165000,6f8eee7c6b6f4b3d9a79d1cc260ab6bb,aa_rare,14497.5
202404168712127,Fiat,Strada,Hatchback,10002589,null,17995,52c5626042624706ba7a57b4ab381bb3,aa_rare,17995
