vehicle_standard_make,vehicle_standard_model,derivative_id,imageId
Alfa Romeo,159,1bc8d27625d723ed2d721be0c6b2c2fb,a09529dbe130459d96c67626031880b4
Alfa Romeo,Giulia,0cab1ebb678d4658bd1ff38a501933c8,5436812ce8c24749a11c20a8677461a8
Alfa Romeo,Stelvio,63cd9136c8ab41578568df99829dc6e7,5dc38c7968da45bd9abc8b355eb813f9
Aston Martin,Rapide S,049b533165494102917ab9f585cd2b76,586a6bd02a64424595b2c27f9bcd9feb
Audi,A4,8aeddc2279ba4f03a108d9595c5a092e,4834e866f98c48d69a535710e2370705
Audi,A4 Allroad,0b888e44ff2242f78afbc6c6ee540bc5,a5b5432c53ea43f58b6fb7a5f2b5d2da
Audi,A4 Avant,2af5732746614da8ab307811deb7a4c5,4bdfbc76f75848f2a25ecefaddaac7d1
Audi,A5,958c9b2362de4ec7b7733c4ad20d80c0,0ee6ee5bfc124e10a0b459bdf47700e0
Audi,A5 Avant,965709c952e643d8a58628a153be5c24,b95cd805d460483ebac7206ce2cfaf86
Audi,A6 Allroad,d3f7f4688b2943ab9c6429c698ddf3da,510f8bd894f64ee0a3101ded886b15c6
Audi,A6 Avant,cd8b20ac964848bdb5b5f603d4dcb23f,60f32087c61844c29ffaf9de2a8f6e3b
Audi,A6 Saloon,22ed3974c54e4f6d99a16fbca9b90970,7eba78ccdf6f4dbf88ef2e174de26feb
Audi,A6 e-tron Avant,2c1c23b7a49840b2b673c41001be2849,cfee29839c9e46f59836b21033df8a1a
Audi,A6 e-tron Sportback,ad12b33e5f2b48b1be04bb80334fff93,83e2d3d295a7492cb8c4911ff32552dc
Audi,A7,4a63be959d204da4b94a989899ba9647,e9b0d118bd504a7c91517a6c0e4ed5c1
Audi,A8,96545337c2ca47c99a1d187285d25deb,177d970ce5454e07a9f48862f8476b1f
Audi,Q3,c0c0e281bd98471db40a0d7166d7ec5f,06b7662cf01945348503f4049bbc4edc
Audi,Q4 e-tron,0b8a293847e84db9bf080600c7cc8100,33b721681c8d4668bef1eafcd56c6f69
Audi,Q5,c1e818e7e15f4d409ff01e889e78bcba,0c75b61a66d14d96b87db8927a01f50b
Audi,Q6 e-tron,6b8e34fbf54c471eabc0a23c0223a433,fc90cd51ec2e47b0865a53328966c124
Audi,Q7,bb52456dfbd547bc8883a044c1998b42,fdeae04ae89446f4a42a186a608924ea
Audi,Q8,e8db10bb473849139c1e88e4375426e5,0f49543dbf5d46cc8918658834444a13
Audi,Q8 e-tron,323e97bc6d9d4039af35e95a9454918b,912ca04c8f5a452780d6f21c6284faaa
Audi,RS Q3,2e08df30e8304b66a8b69faa45607bb3,291fe04fee6d428fa290f30e20cd7465
Audi,RS e-tron GT,932d7ec805b8455cbdf5a80cc262eef2,32ce339df4c04f898076aa685aacdd28
Audi,RS4 Avant,68c0b0feea124eaa9e8aade91928f710,7a928f1be86849c0af17f8529f1b61e3
Audi,RS5,08b5211c4e4748adbda15c38da5a6639,1134c2e971b14b3cbb5dd5a9ec4b9806
Audi,RS6 Avant,34f2e3b27b5c46188b15ff2eb5e26cf0,7523122ed1d2461fa485492964ef4568
Audi,RS7,f32c5b4490e540d08db2f8d4edda7afd,3fce24ca30d7492d892f55c064ae8016
Audi,RSQ8,78eded95876347a697f06d2777902e23,2c2cd4f6712c4159a822ac75d9f6f935
Audi,S e-tron GT,15e3e3118e734585a694acbeba5726f3,4f9d9913420647e29973aa0accbc5cd5
Audi,S4,f7737832b54241359a4b2bf6bd10aa79,eca4c411c72d4c10aa13f3feec2d2cca
Audi,S4 Avant,fc8eb6e50e2045f383678d922c58bcb1,7de661b4dd1445a08e01bd98c93b29d1
Audi,S5,5b0de466ecd04a24b930765c95e8d868,732f1c6ae91849c186cee88673ded5ec
Audi,S5 Avant,b4f6f610449846ce82806d63bb96e2a0,ec5d2bc08cbd4561a0868de767dd5dbc
Audi,S6 Avant,b28965ab52be4a7c9e669a4d15f4ab3c,b07b81da7e1c41c8b92f8d3532e2e439
Audi,S6 Saloon,42f6c78a363548baa5b708fe90c69fa0,964f0c4642124996a7d8dfd9f208171d
Audi,S6 e-tron Avant,17098a46e7134e78bb84f503035141a4,16d219a36f7e48e69ffc67d8faf0d3d5
Audi,S6 e-tron Sportback,a87c43bfb4674c5a80e1534912d6937b,35415334839946ae8255d278fb37b591
Audi,S7,f5eab197e1344a50b1dd4ae74f4fd534,d352121ab32b4a2d9f2150d9308c07b1
Audi,S8,c77d5070ed4a4865b93cce99d58c41e1,b1bbf74f5a8a4cadbd20ce46b62a2b8f
Audi,SQ5,1db1f1c52428483786039de3ff627a30,ba0dba4adbac44288ad34b189f0524e3
Audi,SQ6 e-tron,579ad07c22ff4b18850a939c3ef7f707,cd2198aa2cc2494194e414dc91a4687d
Audi,SQ7,7778e6f4bb524af7b54c235d53ef660d,16b65915be93469d9c98801abbb6941c
Audi,SQ8,ee2d9cd7fa9b490796c74ec34f68637d,46b7cf99eda745c0aa6d0ab318ce84d4
Audi,SQ8 e-tron,5b3085f0737644f8a63f846b3d3efade,6378cdd4fcf7482aa035cd116439f813
Audi,e-tron,1abc905dbf2c499eb8d3fd3fb1bf037d,0669631519aa440993b4beaa7ca4823a
Audi,e-tron GT,3000b6e2a3384fb2a338635f6a222cd9,494de0adce8d49a3a1c51f51902b9a4e
Audi,e-tron S,293908bc1ac94c4882a7b2aea5f18b24,72818f32a2a646b2818baf3dfac02208
BMW,2 Series Active Tourer,13061a08a44547b38900d094109380b4,2dc460eebb104f3e916bd389070ea9b2
BMW,2 Series Gran Tourer,4735dc3417cb4e29af0b36ed1fd7d0bd,dec39e59d3164bf49a987824d6f4e320
BMW,3 Series,96e922609faa4c41a72f331ef49603da,f9a72ac709eb490eae7be42ca9a06538
BMW,3 Series Gran Turismo,fb23d9c2fcf0492687d013eb14e8eb2a,3f0e84a048c1453c900798bb4b801ad4
BMW,4 Series Gran Coupe,48321c3452ec444a9f812761591c47e4,fc1fad8a56ac4236971f9ed2e999096d
BMW,5 Series,9fc0bd4992fe4265a0056ee68fd4382a,22f3d26a9f0c491b87833d3fa264f0cc
BMW,5 Series Gran Turismo,b426f91ba4bc4e0797ef180f020e72d8,46cd4cc1ef7948759caa13d508943dc0
BMW,6 Series Gran Coupe,6cacbf6e079541839803abe66cf845b8,b07bd04238084b19b6aff45b79a4e9c3
BMW,6 Series Gran Turismo,b90d956d93db47bf8a435540d8dc50e2,044566f4cfb14f6c9656f884d74f766e
BMW,7 Series,c9d8382627d44c5d9c591ae505be2cc2,6f18b7f844e3451e83ec2566f3dd2a18
BMW,8 Series Gran Coupe,e31c4fbb383c4cc191e7e06857cf0b60,f64cbbd98bdb4a83aac301cdb6026e38
BMW,Alpina B8 Gran Coupe,83bc4cc941ab43219001b82fae35898f,ec271dfaff65402c83312aaabebb659b
BMW,Alpina D5,dc22c116e85949b99707dd29232c8de2,4e501c24dafc4ee9a65f638a0408f830
BMW,Alpina XD3,5ca55d0f403a48099216fbb5c2107b4f,2e1a5ea4aabb4daeb804340d313ef919
BMW,M3,f381df60646f47d09892cbe14947415b,cdfb15305b4647879a01ceb50669469e
BMW,M5,662ea457c5bd49e28f14aade91b8a31a,8b136a678b5945459fce1f936e4bb5a1
BMW,M6 Gran Coupe,f7bff4b7487640c18b0be60261bfbd01,4fbe1975ccd041ac8383a6b3d23ffbd8
BMW,M8 Gran Coupe,336f2ed2f5714d50b8674be1bfa11262,764448cb2f714e27a3d0556f2f7fbe43
BMW,X1,f73487e22cc64bbb8193d0337024afba,ec9fa9bed03e4102a3b27e36ec08b8d7
BMW,X2,cd3f3d810c8d4f358046e9e0f030eed5,310f2c70f8a64c9da50ab3cdc8a9d367
BMW,X3,c9c9140329664ddeaf544dad7ad60e36,3a964adc793e4b35bba5040f703d46d4
BMW,X3 M,4407d432665048b4ab319b5de78db76a,cb573783f6344eb6a940f5327009a5d4
BMW,X4,9d97659a0fd74573a256524dea86ab76,645cc90fd4a24ce7a34d3e5a5578f2ab
BMW,X4 M,e1e6efcc99fd4cd88281667e6d036aef,8bc73459f5d94cf8b1152118bcfca5a7
BMW,X5,93e3f2c595bd4e648b4f1089b59b2352,205fbfdb6138411296892efc9bbea97e
BMW,X5 M,6e1662e883ad45fbab3694498941cd34,5a587f378abf45bc97a1ab158506e67d
BMW,X6,047c26e7bc82473d864efe331cb38eb0,ff1a2a5dd6684ca093efb81cfac9a99c
BMW,X6 M,4f7c6c8110634eedb619cef940c52222,e089a827a2094a1db94fcab07b0231d2
BMW,X7,492892c1be974c169321157ed4c210af,aff65b357bfc4190a23599e7d5c6ef71
BMW,XM,287d1d457c5a4aaeb51d45105348d6b7,1bf06dc78ba641cf9255646c0ec8e29b
BMW,i4,8695025f395f412d89e31b3b86afb487,93310540b6db42c9998d0b4314f6e5ff
BMW,i5,5a822eec6b5c44378cefccc30d56d67b,365478efeda547a5bc42f479bb18f333
BMW,i7,0b1e8ea4a1fc458e81f704cb96fcf7c9,c5e723db457a4b78b268f6d4f2f886b9
BMW,iX,8585bf9858fc43bd85add59a0d987ff6,b33bdbc706fc4d1b958daf224625c770
BMW,iX1,c13259c5eb964ec5b9c2a020d31af976,4beb3e1b6abc4288b51c4c09b92f3515
BMW,iX2,ec5460f2493349e5ba409d3f937e0490,bf4ecf32daa54cc28e4fa44b97eaaa74
BMW,iX3,bc7afb61a80841be9b16a1bd182def68,b8fa61873317423583a098a6c91457b6
BYD,Atto 3,f39ddff60d0444ff896c17e75a42f1af,f1b57be7c2b54240964af0d57892eb1f
BYD,Seal,985c6e1e7d5c4ca6bcc09862f2ab991d,d9e4add8aabf4b97b44779ddbad62770
BYD,Seal U,bcc899fe1f2945759a5686c22790bc03,c6f6205be931418584049922c59f56b9
BYD,Sealion 7,09ad686150894f9697d1303a2279bac2,6357e6fbf3a540d9b1782f276dc0b00a
Bentley,Bentayga,7a025955ceaa4f41918f4ac050f28ebd,640f398a18e14989a2c580c94a0d30e4
Bentley,Flying Spur,121646411ae444d1bafe28a161149a27,d9805dc5650a4b318011086933b20841
CUPRA,Ateca,a9310f085bd648d683e4ea83036299bc,a5f77abbd6cf45129dc9edd973c82c09
CUPRA,Formentor,77a1e6fddcc84800bee7b0dd453a232b,33d8dcb2ecbf449b950a91b1b6e0117f
CUPRA,Leon,cad9724ceebe4a5081946a6d2d7589fb,c6402a937ca5493da71616a3982fc0ef
CUPRA,Tavascan,0e8085d2843e424fa4cee00a177ee2c2,a8e1301f27ae4714afc761f5453b1b14
CUPRA,Terramar,20dee012314f41d0bcee3d4f1ecc9926,942214f73d2348e8ad1e0207e6ddbd2b
Cadillac,STS,b02d6a8482c5aea18ba0a7562b19820b,3a248e4ad4f244e0a18e77c046d930a7
Changan,Deepal S07,6b83b6e7eef242948db62ef30fd7a6a4,dcf9ce68582946f3b98b251d8bfe8b7b
Chery,Tiggo 8,1dc361cb3f914a73a7139735e4a16baa,4206de51339146849e1f341a33cc5a47
Chevrolet,Captiva,d2489baaf88a486582662f1c9ec4d1dd,8c6832e273d641dbb5727914b189bfc2
Chevrolet,Orlando,c7bc2603c2d44938b3b938cea92031f0,997e9443a9e34061aba0b772e1bf52de
Chevrolet,Trax,9cd097b1e6084f2e9f536b309f9ee25e,1639308e35974dfb9081f1ee52fd9f27
Chrysler,300C,2c4b5ae38c5d49e98bdfb4f21d73847a,1c8ab9595bf242e197fad6aa752a021f
Citroen,Berlingo,61632df3de474367bbef998c9a1e1b7a,e58f3d8f3a1b419d95c81748dd28b498
Citroen,C-Crosser,a57949f21cb44f4f86d396f02a105199,416c116745d14d679d8a53567b7d88c8
Citroen,C3 Picasso,e9b4a28e3edd4406bc4ed363c54049c2,598d7f5859544f278ad06e3294482e8c
Citroen,C4 Picasso,58ecf22edba340feabc3d9e254ae4a2a,3c3d8b415fa24bf39fe6a60cde5abb5d
Citroen,C4 SpaceTourer,5d080480246447e196641187a237d728,6a177b2d2adc41e0a7dc6615f85c9187
Citroen,C5,45f86c04bb9b4110a0e53418c39ff367,48c111c86d764326954e9cb101f0eefe
Citroen,C5 Aircross,8fb3b73558f54328bbb862e067b489ca,9f5355f2f67d4621825d591ad8de5127
Citroen,C5 X,5c846aea15ce4f388498437c751eb675,b7ed74152f1141ce82bc277c6c7ee235
Citroen,C6,e32274b3942869d8e90f6bb71806fd7b,82fd52c6550a4df99e8fb9e09306830d
Citroen,C8,fe203b6dc49527304cb43750803ef84e,3c4bf30727ee42f1ac0225bdf5eb43cf
Citroen,DS4,b9de3eb69ede4ef3b2a88deb193409a1,640b194b7927409ab2c62a5ab71502d8
Citroen,DS5,18e8e12122644bc99d1d30ad5b121e76,f090f5970e0444feb02018b14c8e60ad
Citroen,Grand C4 Picasso,5d10e4afd503444eb7303576ec7ed8e2,c27c7254508f4470a06cd498fbae9cc0
Citroen,Xsara Picasso,c086bffb06ccac4db20fd69a731024f2,13ede2063e8e4ee8a91e472bff5b36fb
