vehicle_standard_make,vehicle_standard_model,derivative_id,imageId
Abarth,600e,5e44031fe81046428bfa4386f10863f0,2575cbe4acf049b6a15973d69dae73eb
Alfa Romeo,159,c52ed23c3973d410bf334e1719086de0,b86320ab3ab34716861186b1e44a5a86
Alfa Romeo,Giulia,0cab1ebb678d4658bd1ff38a501933c8,ff6ba45810e349c0898fd9afda912858
Alfa Romeo,Giulietta,c24b7914009e4fc4a7908b94a9e3d7e6,8974f320ed23447ea1f3f0a4d5dbf4af
Alfa Romeo,Junior,04dafa2e76e14839bf927754f9872ca3,2a2ab10cd53f43969c9ecec3f3f43d3b
Alfa Romeo,MiTo,aaed731b24f94798bd936521c48e2a24,58ff1a121d9c4153bd18b2b67122e123
Alpine,A290,8d5da749170444c4a5fa74bcb7b8e24b,8e8f04a7f3cb4a4aae645d97e5600f6e
Audi,A1,4e2dd421b7014ad696d0664b4552178c,afbcc4a4dd9d4f7ba0c29bad9a6ee58e
Audi,A3,27ccf9b60f9e4e40b8da21610903d030,dd3e849e17724a9eb82660527cbd2280
Audi,Q2,300de6b43c90472a910085ffe1c58c86,792a62ca546c4dbfafa65abcc4e2be0b
Audi,Q3,c0c0e281bd98471db40a0d7166d7ec5f,00f5a6ecb6e744989bed539067f4abb1
Audi,RS3,b0624e1fa86146c18fdd25ed19ed8b60,fa54fb5218ba43e1ba15d8bc0406d52a
Audi,S1,8dd38b20c10c42f79476a353334790ec,07e2f183ab354867b50dc8f831e8cd4e
Audi,S3,07627a922909425b8865810e2e5475df,315a93c4b952478bb3dd815ab393b569
Audi,SQ2,b5a8b179287548cc829b227cdcb0b648,4ff9039b52a04d66bea4308bf158b758
BMW,1 Series,4f7684aad4b44a5c9aebfe267c990027,36700926f81240349ff03f548d11bd65
BMW,2 Series Active Tourer,fdecabb3b53c438187015c2cb1af9b39,13ec740b142c49568e20a562b769228c
BMW,2 Series Gran Coupe,ce94876ae76e4dc49c0f98d29130639a,8884ec7623af47cf99afe8e26bed1284
BMW,3 Series,320541faecf744f6bc86b8947be3c64b,e133a00d7258473c836e72c20af2b5b3
BMW,X1,2005cd4fcb3740f691158115cedc908b,6c994fdf3fba4f0397911f8397c35a55
BMW,X2,bc693c76614f40f09507dce11a87b8ba,74016ed7de0a458784b92facec1ac334
BMW,i3,80d61e08e6094578a6d7fca13bcdeee0,27cf186110d347c7b14874f5e147e8df
BYD,Atto 2,f3037fb6dfc9497dac34cac0080160b8,a2bbc3ef6db547eabd3cd7b63e3a5ae8
BYD,Dolphin,e566a663e60c444aa87092a55fbe7fc9,29e0f9edf58e4ce29d9ff286232873f1
BYD,Dolphin Surf,13d1c7e0db094bd691ab3e2014c1acb8,e720d3aa0d3d48829c4fa34859db080c
CUPRA,Ateca,a9310f085bd648d683e4ea83036299bc,1b046862145a43279d4a0c79d776f417
CUPRA,Formentor,c75e808723b840abb963e37a7f83b14c,d844b4b4c7c2471d8645a7d5ae2dfece
CUPRA,Leon,17f6829bd3db47ccab42b80640cec4c5,8129d8934f7a4e418418de12b3b6740e
Chevrolet,Cruze,2de4120f877947d38f74a479eb98039e,4c5b87f02b294de8bd80d8f4463222df
Chevrolet,Lacetti,f13690d7e882c3e728911243775aed27,03846453e4f14b659a44fd7cbbffa856
Chevrolet,Trax,40f070af0219431bab9d5208e371ba88,c43de45062ee4cc2b16069b53a111cb2
Chrysler,Delta,2ccede589c9b468e9f1da78589292271,4b3edf379fb342c29eea350bc912ce96
Citroen,C3,1ab3e4fd811647f3a4e76c3c148d6c12,4611a4760e014ef2902683b1bf538682
Citroen,C3 Aircross,9df5047339ea4d0691c86e6f6a0283fe,32addc88265948f99bd0a304000f5082
Citroen,C3 Picasso,ada442eef83145759734964a451447ba,96e4f2d9e5034223883223bc6b19a2f9
Citroen,C4,df1f1680076f4a21a8242420327412ad,a03da886f4774107b1969fd561864181
Citroen,C4 Cactus,81290b5c84464466992f660aac857349,bf32318a19b84427a4a543216174a142
Citroen,C4 Picasso,322ef3ef83dd445bb39fcae1bdfd657a,33a569b4bc444b41b8c3c0a0a921016d
Citroen,C4 SpaceTourer,5d080480246447e196641187a237d728,b5b30e41077848db9a4054a4cd3290a3
Citroen,C4 X,b0d66752cada4b3ba61b005375c3df21,7cc3e2554699492b92bd5d1847edf877
Citroen,DS4,42101e7ee2eb49858e54e01808028fbf,d445fd9ca9e24c5fbfa143fdadbc857e
Citroen,e-C3,dcd2d9892799469c9d7246f85915a1ea,ec1814ba7bf34158b46334ffe22524e1
Citroen,e-C3 Aircross,a5960d896a8849b3ba39c7b863582c23,165877846aa94356afd0c2969a7e9bbb
Citroen,e-C4,86c0db2bb10f40a4912ec70d88145428,42b48911fa5a43529fd76feb976c4095
DS AUTOMOBILES,DS 3,ac60b343e88b45a0bd6ff478edd5190d,11743fc2e978403ab68d126ba340c95f
DS AUTOMOBILES,DS 3 CROSSBACK,7006bf0a784b4d4ea277d43f1d3d1c0c,22f5dc9290f141aa96e5c3da10b6260e
DS AUTOMOBILES,DS 4,405ed653b3e34724aa9ee917d9e093c3,a28d98f28ab3488294e1e1ec70d17e6c
DS AUTOMOBILES,DS 4 CROSSBACK,632b4abc1e6043569abb3350ffc5971a,89b59b40fb7b43e0adb6937fec203583
DS AUTOMOBILES,DS 5,dbb705a5ba3a4d83aa7d87d8457e70e0,5f14387d07f44e8e80f5fc72656ddefc
DS AUTOMOBILES,DS No4,42869353cab24d69b78e23db825df043,dffd4b9fcbe74940907bdbfd224765cf
Dacia,Duster,a6eb87158fd84401afdf3e979c05873c,1a80147b116449b4afe8bdcfdbfec47d
Dacia,Sandero,a779ce5fb43840e2a1a561ec6f99703a,05dc97b5754548a78da4a96b11bcad8d
Dacia,Sandero Stepway,ddb5b7131c1e493bb3c20628643ebd12,3c1ade9bef5b4049b7adbf7441dff43a
Fiat,500L,cae7421ebba346a88a1d71b82153711e,193df643ac8147dca0e3c475ef07635a
Fiat,500X,267331f7cb2a4613a7a80bf664a422b6,43419ac4c9844a8bac6ee158e2ba1b46
