vehicle_standard_make,vehicle_standard_model,derivative_id,imageId
Abarth,600e,5e44031fe81046428bfa4386f10863f0,a11b33dfc91042fcaedc4c87fe93f4c8
Alfa Romeo,159,dd85f4d184ecb4e83f70beb7fecdae74,b2a24376c0d24be0b51bec1c526701bb
Alfa Romeo,Giulia,0ab9ab5ab5284444b616aeb301cb6639,dda9a02331cf4d75b868f818eebb08b3
Alfa Romeo,Junior,f747f03f2e484e6b83cf63fc49f1c4fc,2a926d6a160445f98e718615fd79bb32
Alfa Romeo,Stelvio,1815c829a19e4ef48e6d9274fb4db620,3ad895ab3e454e3c808a778ed3ae13f2
Alfa Romeo,Tonale,9617a02a26f24d1fa4b26ca4737d7a9b,78e0906867b84526b69e22ec86a691d6
Audi,A4,0aac62d726c8456f9268390d534f4c18,115b58fabcbc41b1aed22449dd8c4d4c
Audi,A4 Allroad,22a79cda06704dc49ddd516ed6e4d0d2,2ccd98cae93b44b5928b7a353de26b28
Audi,A4 Avant,f3fbfb009c3a40708c7373ec512164cc,fa66931165714a0585ee302362878d06
Audi,A5,c02e533035094cf2bda3d8a17f59936d,f115d73bd2754b5695e780dc3004d6ff
Audi,A5 Avant,037491a6659b4c668272dc64d7bcfb96,bc941d62b6954ddb8e7554b88a63a513
Audi,A6 Allroad,7d009a63a0754ca587383a13893cce80,4c9e4ba584fb47a1a98a0e8e62f317f7
Audi,A6 Avant,a8023017e2fe4d72b77ac0ddd33d154d,0ee0f88a21b44874bb04f5c9fc02b0df
Audi,A6 Saloon,83d8c803f1914168ad1a146c427cf43a,fe1295fed4504d908c3e92316edcf169
Audi,A6 e-tron Avant,2c1c23b7a49840b2b673c41001be2849,48b38e0acff64c6e8a9d3eb59e738b70
Audi,A6 e-tron Sportback,6cf8a5f7554240aeb837f103ef6d25f6,f44c2e2fce5e487e93f973889d1b2733
Audi,A7,4a63be959d204da4b94a989899ba9647,c8b65390df354bbc946a23a74de24583
Audi,A8,2fbdb0f98ffd4d91a9610904d276278d,a4a760f929da4219858ceba80e3ca6c2
Audi,Q3,c0c0e281bd98471db40a0d7166d7ec5f,02bb221c0e5c443aa5efbc7cc52f73a0
Audi,Q4 e-tron,0b8a293847e84db9bf080600c7cc8100,33b721681c8d4668bef1eafcd56c6f69
Audi,Q5,c1e818e7e15f4d409ff01e889e78bcba,abd5bc17a2524242ab87d28b2e36fabe
Audi,Q6 e-tron,4fc8597e51d041c39929420077ec2ee5,5e44a76134b14b689f54dfbf1cb47aa0
Audi,Q8,3421c05441a247afaf7a35be391b8caa,bf0d80eb45204c8b8e8be725c889d225
Audi,Q8 e-tron,323e97bc6d9d4039af35e95a9454918b,9ccce8e885cf402da2d08eed033572b7
Audi,RS Q3,be99acb385684d4e83a4dd902ff010d7,5f1095a95ae64e63b560ad806601b35e
Audi,RS e-tron GT,1a6d665825e843a4a92fb4dfc841778b,947aba41eba84373b0544eb19e156fb8
Audi,RS3,d6485bd101a843aaa49ab875bdf8de82,95f758cda6d2451d98cebc7152c1559d
Audi,RS4 Avant,bbb1a5b41b4447cab3b1ca93cfce58b3,7b09a199145f45178b4000620cd13c59
Audi,RS5,08b5211c4e4748adbda15c38da5a6639,4fed1a3d7fe74fe8ad7b1436adc711a7
Audi,RS6 Avant,4e21deb7f55e42b3bc7ef9a4b23ae226,243d62af0fba44d9b7dc2417048533e6
Audi,RS7,00516d99e2f44ee19d30047c870a0c4e,2afa61a0381f4ac188e33f13b965e334
Audi,RSQ8,965ea7159d8144c5866ec3a53d70bb0f,96ce186e54fe487cb17c8c29cfb683c0
Audi,S e-tron GT,ceb167fffd3d47e5a35ded17f323e661,f2a113e5b0494270bc5421155997c67d
Audi,S3,67605b7b4c20489099289918474226ff,898fbfd6c25c487fb0133097fc3674cf
Audi,S4,2f436d9a08ae47d2aa9f2926f0d3519d,d71a57b92ab74e278d00c6a613d4ed50
Audi,S4 Avant,7354e163b32a423eb983ad9ddc937db8,d1020f54c9d64e0b8f0ccac660b27aa5
Audi,S5,6911e96518004131a2c068a66847bb5a,6fcbe515619c4c2c8ea86ed9726c63de
Audi,S5 Avant,b4f6f610449846ce82806d63bb96e2a0,1a1444cd566f47308b811cbe53b3dd9b
Audi,S6 Avant,07a7d4961ccb4c31a8369c023df162d5,23885ee214144471bb59d1c07a63c089
Audi,S6 Saloon,1d0846af903f4d8199c1861cbd590fe5,ab786744696f49b3b2f851b60197969a
Audi,S6 e-tron Avant,6aa3ff75235442898f23a2bb47333631,db4840073c98442ab7f53462fcbe3ee1
Audi,S6 e-tron Sportback,a87c43bfb4674c5a80e1534912d6937b,9f0608eab67d4ab0a1219294c50b12a3
Audi,S7,f5eab197e1344a50b1dd4ae74f4fd534,6af784fb1a844e4282947925f1dc125b
Audi,S8,f7b55fe57bb74d8983f086d07b0a2b13,7855437dc7954076b0d3ad5a7b15151a
Audi,SQ2,384159acffe74a6dbc7ae490159dac36,7f87d878df0546c09e891a6a88e4e20e
Audi,SQ5,4bb2bfe555c44f1784fa190765dd8c92,a67409d6e70f44a59cdc892b83edbb6a
Audi,SQ6 e-tron,c1db878a012b45e080bda7eb49923707,0e1a0f0033fd49be86b850f4c7516c4a
Audi,SQ8,b55fbc982848420bb695b11e4d781b5a,614fca074b2c4e5a827e9ef9221fa4cb
Audi,e-tron,391eaa6172104f4e91af0482251a3e46,e4bc18ac22694168822c8f5c381184a3
Audi,e-tron GT,3000b6e2a3384fb2a338635f6a222cd9,762acdc463c545b987c1bbfa2f70bb4c
BMW,2 Series Active Tourer,2a958b2d6a18431eab92a660513af18b,fbc9e56a697a4ba9a99927e5994e8f07
BMW,2 Series Gran Coupe,79faa936a24043fabd453217c6b23223,0e1fa2c829e146c3b9663259dd9df186
BMW,2 Series Gran Tourer,9cd383149bfc4c9faa9a9f89904bbb7a,0605570e63f54303859dae1a741654a7
BMW,3 Series,876e8e2a77f6455a8fa0ae0ae1e3a7a1,af80273371ba443e8f796576afef7079
BMW,3 Series Gran Turismo,fa64bc34bb1a48af911946826e99479f,0673ab4c2ebc40e088a3d055214dd9ea
BMW,4 Series Gran Coupe,25e925aa9c2a43ba94ec99e46f46ab4d,ed5cd41376b74e32854449bd295ca9dc
BMW,5 Series,62df42d2b4a74d86afb6a99052a2010d,3c325b80ec2242289e13b89638a3c82a
BMW,5 Series Gran Turismo,c3d5421fe14b4dc6b068440e4f58485f,14903b366869402186c4622a08176fc0
BMW,6 Series Gran Coupe,076ff74cc258444797ec474ce67004f4,023acb4e20de4381a147ca5e6f2590cb
BMW,6 Series Gran Turismo,79c64ba0a88d4bbeaeacb37e6123e472,f3faeb1b63ae419f85f230f8076c61a5
BMW,7 Series,229f7bb320374eceb24ef4bc1b41d129,bdf5b5ce42b3465596e3963fce4320ac
BMW,8 Series Gran Coupe,ed2a0ca123f449acbeacfd78ceb67e5c,d3a0b424f92c4953b9f19336ce00b9b2
BMW,Alpina B8 Gran Coupe,83bc4cc941ab43219001b82fae35898f,ec271dfaff65402c83312aaabebb659b
BMW,Alpina D5,dc22c116e85949b99707dd29232c8de2,4e501c24dafc4ee9a65f638a0408f830
BMW,Alpina XD3,5ca55d0f403a48099216fbb5c2107b4f,7ad69ada12c14e04941e67e708ce5ac8
BMW,M3,8ff1592e1ec444fd9903e325183ec621,15fc1646f6f54c788e05293296a0950e
BMW,M5,b27bb93be5f84cd89f2c5a3dc06ed0dd,f2f4226d624142abbfce519f0addf295
BMW,M6 Gran Coupe,f1b0f281021a420bb71ad8e65f32a209,9389f015d8454c29b1f213676128f935
BMW,M8 Gran Coupe,336f2ed2f5714d50b8674be1bfa11262,254c1d76dd564e08927203615850c4dd
BMW,X1,d6e31a74cbc746baaa26d70fedcefe8b,d7d5d70d1aae4bbeb2a528d408e93ba8
BMW,X2,a9a425f4b82c4f2c9f507bed58f80e45,c5fb88d5ada4486fb29a2ad8e1c1b0ca
BMW,X3,c9c9140329664ddeaf544dad7ad60e36,1fdd4cc561364b0ba18923b1c891c02a
BMW,X3 M,0997c945b2b2420b91b55eb8eaf2742f,5947d432d0bc4898aeb97468b559d96b
BMW,X4,30e3e4467d784202a6f76fdfe62da385,79dd6cfdd13b4bbab9352e874e487ecc
BMW,X4 M,4dcc0291c1c34370bb5dcd026bcf3a36,5f82b3ab75434cb6a347d8cd51ccc2fd
BMW,X6,d6d43119a14c48aca4f8366a732732d2,9a65f285b89f45f593f52dbc7fbf4400
BMW,X6 M,4f7c6c8110634eedb619cef940c52222,e089a827a2094a1db94fcab07b0231d2
BMW,i4,8695025f395f412d89e31b3b86afb487,6835dea7838644a883a8274101e343c4
BMW,i5,1f5bf9df3fbd4e95af8dffd74c8822e5,54e263aa5183450789192e5f1d5541a3
BMW,i7,fae1205f98194495bc76655985c87cec,e46c1428dd7e4467b34c032951eda194
BMW,iX,3102b9759f404f1ea9880dbf912fa8ec,fbf0b8cba16749d083a383f6a955ec4b
BMW,iX1,ce8520dc50b248778ca952d19caec54d,22ed7a72565d43adab00357e33ec4738
BMW,iX2,ec5460f2493349e5ba409d3f937e0490,7219f6c93d2f4f0ba54434c355522047
BMW,iX3,3245a6e906984e65b80e6da4ff96afe7,13e5c6403c8d4464bd3b0a716fde5ee8
BYD,Atto 3,acacde6268494639916108049dc1ace8,deb39241f739455692f3e432dcaade2b
BYD,Dolphin,e566a663e60c444aa87092a55fbe7fc9,ad08bebe1d69428aac488353f34ff1ae
BYD,Seal,985c6e1e7d5c4ca6bcc09862f2ab991d,7e0887b172b54b479f2fcbbf2b165220
BYD,Seal U,bcc899fe1f2945759a5686c22790bc03,d7066c48d2374a5d9bc19f066cd0c6d3
BYD,Sealion 7,09ad686150894f9697d1303a2279bac2,06877682dba24857a1b6fbf052c4d6c6
Bentley,Flying Spur,4bec083d5b4e46b697ffc493cb7a536d,092e64f1080e44c8b9cd6333f59be31d
CUPRA,Ateca,a9310f085bd648d683e4ea83036299bc,294e09cb9f7a45198728f939201b6f69
CUPRA,Born,cb11a99f54b043f1983f336c79eff9c0,a72f7f9887b840099a5f652c669b7467
CUPRA,Formentor,4fdb2db4a5d14414aa520c7db12dcfe8,ce979e86cbc1462b993c561ed3e996b3
CUPRA,Leon,f417b8b91c1f436daf231eb4bff8809f,2f259c5cf9f24e9c862ac90b9fbfbfe6
CUPRA,Tavascan,0e8085d2843e424fa4cee00a177ee2c2,e3aef7eaea264969a254694330520219
CUPRA,Terramar,821c08648dd84a50985f33e3b0ae796b,d249fee6e1b34a4f87ee4bd2e5fc0aa6
Cadillac,STS,b02d6a8482c5aea18ba0a7562b19820b,3a248e4ad4f244e0a18e77c046d930a7
Changan,Deepal S07,6b83b6e7eef242948db62ef30fd7a6a4,84b5d288830e447caa8ade41c816cbde
Chevrolet,Captiva,b75e9ec5562d4a01b32dd4272796df99,da2938ac3e0744899a413e28978791c1
Chevrolet,Cruze,1b44116db96e46518d80b721979b9074,f8aa33ed8d7843fb893c1a035f91d565
Chevrolet,Volt,23dda129a9d44395aa40e6823b004e7d,a444366f951d4350b21764ef7e014f74
Chrysler,300C,63be6bc7d88c0213186794b57a5ad1a3,57a559fb8d9c4e3fb28ea0c8fed2f6c2
Chrysler,Delta,1e53bef00986435c9fadb8ddb9172e64,37d337f4939e4048b5286954f9cfdf7f
Chrysler,PT Cruiser,732e7b804428db7c595b0f575bdec8ff,24e52a7da51b4493ab62cdcc0b99dd6c
Citroen,C4,284bc5bd871c4b83ae5a4591e7c42626,b42e57a9331e47fd9edf2f2db4fe53aa
Citroen,C4 Picasso,f6ba109e1a8c44579969ff881546ce44,b4c7ef7a0fd442ea840fc839f7292e27
Citroen,C4 SpaceTourer,9b18e2658fce46128622e9daa5bd13c9,e0f9c48c02a24ab4aac2455b9eaaa5a5
Citroen,C4 X,e779bcaa9faf4b00826f33962e10acdc,18973caa80dc4bf7a543afedd87d953f
Citroen,C5,138ebb57b430409d8f7e78c4b2276b10,fd40655a41bb46f880ff3dce7edf9b93
Citroen,C5 Aircross,fddcdf51bac9475f967f2b8d8c838d79,5efa2235cc2542efbd328b3d34bc926a
Citroen,C5 X,5c846aea15ce4f388498437c751eb675,144e15116fb94c9dabe3735aa6fcd3df
Citroen,C6,e32274b3942869d8e90f6bb71806fd7b,85ee9b474ec34cac843d3a1680d2d5be
Citroen,C8,3559521b1e8dc6541810256792ae296d,5e814ac1f65e4a6c8e5d3837df76f41d
Citroen,DS4,ee1100ac4ae14a188aab60982bee4623,6bc8f7cd49644a58b27a49725b80a0d9
Citroen,DS5,f9f9ed2baee449fc80da30ccb3280801,b8b26cbecce4459d81959d802fdabad9
Citroen,Grand C4 Picasso,10d8879cec9a44b186e2c93be475e619,031ae27017c64171b5faacc87a3b785f
Citroen,e-C4,86c0db2bb10f40a4912ec70d88145428,229134d84f9843f2aad7a255ccc8831f
Citroen,e-C4 X,f574e43438b14fc58de01d172a1a0a7d,e69f6adf255b411888189eac77215f11
Citroen,e-C5 Aircross,199f58d1f3374f1cb714233b6e864e6f,7ebff8af013c42ce99eef161d320aa80
DS AUTOMOBILES,DS 4,1d364e2c97ce4c7e902b56ea1291b633,ee9009f1e200468a8aa08bc9ec986202
DS AUTOMOBILES,DS 5,66ce05de135e4ea8a959f665f67e6667,397d46d65eae48639b21235478938cac
DS AUTOMOBILES,DS 7,60772a8962294d0fa0e23129b4efa605,86af8470fcfb43599b4c1742dee37f09
